title,rooms,size_m2,monthly_rent
Møbleret lejlighed fremlejes fra midt september til midt december,2.0,47.0,7000.0
Værelse 3,1.0,12.0,3000.0
FUNKTIONEL 1'ER I AARHUS - UNIKKE FÆLLESFACILITETER,1.0,34.0,6795.0
Stor og lys stue lejlighed i Høiriisparken ,4.0,76.0,9275.0
"Fremleje - Rækkehus i Præstehaven, tæt på Århus midtby og universitetet.",6.0,100.0,11000.0
Bolig til leje,4.0,110.0,11000.0
Skøn 3 værelses lejlighed,3.0,90.0,10595.0
Skøn 2 værelses lejlighed til leje,2.0,45.0,6995.0
Fællesskab - udsigt og hotel stemning,1.0,29.0,5400.0
Skøn 2 værelses lejlighed til leje,2.0,59.0,7495.0
Skøn lejlighed med hems og charme nærmeste nabo Aaarhus universitet ,2.0,44.0,7990.0
Skøn 2 værelses lejlighed,2.0,41.0,6395.0
Skøn 2 værelses lejlighed,2.0,51.0,7395.0
2 værelses klar til indflytning ,2.0,75.0,6600.0
Skøn 2 værelses lejlighed,2.0,41.0,6495.0
Skøn 2 værelses lejlighed til leje,2.0,41.0,6595.0
Flot 2-værelses lejlighed i Zebra House,2.0,63.0,7345.0
Perfekt til studerende,1.0,35.0,4263.0
HELT NYE LEJLIGHEDER - GODE FÆLLESFACILITER - UDSIGT - GOD INDRETNING,2.0,54.0,5998.0
HELT NYE LEJLIGHEDER - GODE FÆLLESFACILITER - UDSIGT - GOD INDRETNING,2.0,53.0,6198.0
3 værelses lejlighed på Engtoften i Aarhus udlejes,3.0,55.0,8195.0
2 STORE VÆRELSER - DEJLIG STUE KØKKEN/ALRUM - HAVE - PARKERING ,3.0,82.0,10495.0
BLOMSTERRÆKKERNE!,5.0,114.0,12695.0
TOPLÆKRE NYERE LEJLIGHEDER,2.0,42.0,6095.0
Leje værelse i 2 værelses lejlighed ,1.0,17.0,2000.0
PENTHOUSE LEJLIGHED - TAGTERRASSE - FANTASTISK UDSIGT - GODE FÆLLESFACILITER - GOD INDRETNING,3.0,77.0,8498.0
HELT NYE LEJLIGHEDER - GODE FÆLLESFACILITER - UDSIGT - GOD INDRETNING,1.0,40.0,4998.0
HELT NYE LEJLIGHEDER - GODE FÆLLESFACILITER - UDSIGT - GOD INDRETNING,2.0,54.0,6498.0
Lejlighed til par eller enlig,2.0,54.0,7495.0
TOPLÆKRE NYERE LEJLIGHEDER - PERFEKT INDRETNING- BLOT 4 KM FRA AARHUS C!,2.0,57.0,6995.0
3 værelses lejlighed på Vistihøjen i Aarhus N udlejes,3.0,86.0,9450.0
Hyggelig 1 værelses med hems i Studielandsbyen!,1.0,18.0,5500.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,93.0,12027.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,87.0,11290.0
Lækkert nyrenoveret værelse/lejlighed tæt på Risskov og Uni.,1.0,20.0,6000.0
2 værelses lejlighed på Onsholtvej i Viby J udlejes,2.0,59.0,6820.0
Fin Lejlighed overtagelse evt ny istand sat eller rimelig stand (så skal den også kun afleveres i rimelig stand),4.0,113.0,7950.0
Hyggeligt værelse i fredeligt område i Åbyhøj,1.0,12.0,4500.0
Billigt værelse med super beliggenhed på Trøjborg fremlejes. Gratis husleje resten af maj. ,1.0,15.0,3525.0
Flot Landejendom i Hvilsted,7.0,238.0,15995.0
Stor 1-værelses fuldt møbleret lejlighed med en skøn altan,1.0,30.0,5800.0
Fuldt møbleret lejlighed med egen altan og gratis fitness,1.0,31.0,5850.0
LÆKKER LEJLIGHED MED STOR ALTAN - SENIORBOLIG,2.0,61.0,8995.0
Viby værelse i delelejlighed,1.0,30.0,2795.0
Hyggelig 1-værelses lejlighed i Åbyhøj – tæt på Aarhus Universitet,1.0,27.0,4500.0
Dejligt rækkehus i 2-plan i Tilst,4.0,114.0,12995.0
TOPLÆKRE NYERE LEJLIGHEDER,2.0,46.0,6095.0
TOPLÆKRE NYERE LEJLIGHEDER - PERFEKT INDRETNING- BLOT 4 KM FRA AARHUS C!,2.0,45.0,6095.0
Værelse på 21 m2,2.0,34.0,2595.0
Bolig med 2 værelser på netto cirka 36 kvm fordelt på to gode rum og skabsgang,2.0,48.0,2998.0
Smuk møbleret 2 værelses lejlighed,2.0,81.0,10671.0
Værelse udlejes i Risskov,1.0,12.0,4200.0
Søger du et hjem? Værelse ledigt i hyggelig lejlighed,1.0,19.0,4500.0
3 værelses lejlighed på 98 m²,3.0,99.0,16900.0
Moderne boliger i smukke omgivelser,1.0,52.0,7495.0
Moderne boliger i smukke omgivelser,3.0,84.0,12295.0
"Villa med klassisk charme og moderne komfort, Hasle",5.0,120.0,18000.0
2 værelser i Harlev,2.0,53.0,5300.0
" Lækker nyistandsat lejlighed på Damagervej, Viby J",1.0,38.0,5600.0
Semi Furnished Room of 30sqm,1.0,30.0,4200.0
Moderne boliger i smukke omgivelser,5.0,141.0,22795.0
Moderne boliger i smukke omgivelser,1.0,43.0,6995.0
Moderne boliger i smukke omgivelser,3.0,85.0,12195.0
Attraktiv lejlighed med panoramaudsigt,5.0,143.0,12600.0
Kort tids leje ,3.0,72.0,7500.0
Lys 2-værelses lejlighed på 1. sal med udsigt og fællesfaciliteter – tæt på Aarhus C,2.0,41.0,6200.0
"Boligen til den studerende, singlen eller det unge par",1.0,39.0,6195.0
"Bolig på 117m² I Onsted, tæt på Solbjerg",2.0,117.0,7610.0
Stor værelse m. køkken udlejes,1.0,26.0,3000.0
Lejlighed i natur område ,4.0,94.0,9000.0
Lejlighed i natur område ,4.0,107.0,9000.0
Værelse i hyggeligt bofællesskab tæt på AUH,1.0,12.0,3500.0
"80 meter fra UNI, stor smuk stue 25 kvm, adgang til køkkenalrum 20 kvm, have, 2 toiletter,det ene med bad, stor åben entre",1.0,25.0,4250.0
Dejligt 3-værelses rækkehus i 2-plan i Tilst,3.0,80.0,10095.0
Lejlighed i stuen,3.0,80.0,7900.0
Skøn 5 værelses lejlighed til leje,5.0,131.0,12495.0
¤.værelses delevenlig lejlighed ,4.0,115.0,8999.0
Hyggelig 2-værelses med altan og grønne omgivelser,2.0,48.0,6950.0
3 værelses rækkehus på Vistihøjen i Aarhus N udlejes,3.0,82.0,9350.0
Lækker 2-vær. på Aarhus Ø til leje midt august - oktober,2.0,59.0,11900.0
Nyrenoveret bolig i Trige,4.0,121.0,10362.0
"Klubværelse udlejes, omkring 29 m2, Viby/Kongsvang",1.0,29.0,3470.0
Anderledes studiebolig,2.0,45.0,4950.0
Lejlighed i natur område ,2.0,45.0,6600.0
Stor 3-værelses på Bytorvet,3.0,106.0,10445.0
Stor flot lejlighed beliggende i hjertet af Aarhus.,3.0,111.0,16000.0
Rækkehus i Hasselager,5.0,150.0,15000.0
Totalrenoveret halv dobbelthus i Brabrand,4.0,86.0,11900.0
Godt beliggende 2-værelses i Lystrup,2.0,48.0,6495.0
Lejlighed tæt på uddannelsesinstitutioner - til salg ,2.0,61.0,10000.0
Værelse udlejes! ,1.0,13.0,4100.0
2 værelser (2x14kvm),2.0,28.0,3000.0
Perlen på Gammel Viborgvej ,3.0,90.0,8000.0
TOPLÆKRE NYERE LEJLIGHEDER - PERFEKT INDRETNING- BLOT 4 KM FRA AARHUS C!,2.0,45.0,5895.0
TOPLÆKRE NYERE LEJLIGHEDER - PERFEKT INDRETNING- BLOT 4 KM FRA AARHUS C!,2.0,49.0,6495.0
"2 værelse med egen indgang, køkken, bad",2.0,40.0,6000.0
Dejlig rækkehus til åben natur,4.0,116.0,11500.0
"One bedroom, All expenses incl. ",2.0,49.0,9125.0
Værelse til leje,1.0,6.0,3500.0
1 måned leje af soveværelse,1.0,16.0,4100.0
FANTASTISK 4-VÆRELSES ,4.0,114.0,10995.0
Værelse i midtby,1.0,18.0,3800.0
Hyggeligt værelse i taglejlighed i Gl. Aaby,1.0,12.0,2450.0
Stor 2 vær med terrasse,2.0,81.0,11795.0
Lystrup C  Nær letbanen,3.0,89.0,7000.0
Værelse m. eget køkken,1.0,18.0,3999.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,96.0,12338.0
Velbeliggende hus i Mårslet,7.0,184.0,14000.0
Skønne omgivelser i Skæring,3.0,105.0,16500.0
Lejer 1 værelse ,1.0,9.1,2500.0
Attraktiv og moderne studiebolig i ungt og socialt miljø,1.0,34.0,3446.0
"Store delvenlige værelser med adgang til køkken, badeværelse og gode fællesarealer",1.0,16.0,3900.0
Lys 3.værelses delvenlig lejlighed ,3.0,100.0,9692.0
"Klubværelse udlejes, på. 25 m2, Viby/Kongsvang",1.0,25.0,3100.0
Lyst og roligt værelse - med central beliggenhed,1.0,9.0,6500.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,111.0,13878.0
Kælderværelse i stille villa kvater,1.0,20.0,3300.0
Stort villa på landet ,4.0,153.0,15000.0
Lejlighed med elevator,2.0,84.0,7237.0
Lyst værelse i Viby / Bright room in Viby,1.0,27.0,3200.0
Lys og venlig lejlighed udlejes på Mundelstrupgård,2.0,70.0,6900.0
Stor delevenlig 4.værelses,4.0,120.0,8162.0
Furnished co-living apartment for working professionals (short or long term),1.0,18.0,7810.0
Creative International Collective,1.0,12.0,2700.0
Hyggeligt hus i smuk natur i mindre landsby tæt på Aarhus.,3.0,120.0,8500.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,81.0,10703.0
6  mdr fremleje i toppen af øgaderne ,3.0,99.0,8500.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,76.0,10124.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,90.0,11611.0
"3-værelses bolig, i smukke omgivelser i Risskov",3.0,110.0,13846.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,93.0,11964.0
"4-værelses bolig, i smukke omgivelser i Risskov",4.0,108.0,13599.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,91.0,11761.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,79.0,10455.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,96.0,12337.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,91.0,11781.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,90.0,11642.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,84.0,11023.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,57.0,8148.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,61.0,8522.0
" 1-værelses bolig, i smukke omgivelser i Risskov ",1.0,53.0,7741.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,88.0,11451.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,60.0,8467.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,58.0,9367.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,87.0,11290.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,58.0,8233.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,90.0,11623.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,114.0,14241.0
"1 værelses bolig, i smukke omgivelser i Risskov",1.0,81.0,10713.0
"2 værelses bolig, i smukke omgivelser i Risskov",2.0,102.0,12980.0
3 rums bolig i smukke omgivelser i Risskov,3.0,103.0,13076.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,87.0,11355.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,111.0,13878.0
Charmerende lejlighed tæt på ARoS og Aarhus Hovedbanegård / Charming apartment close to ARoS & Aarhus Central Station,2.0,36.0,8600.0
"2 værelses bolig, i smukke omgivelser i Risskov",2.0,99.0,12648.0
" 3-værelses bolig, i smukke omgivelser i Risskov",3.0,105.0,13279.0
" 1-værelses bolig, i smukke omgivelser i Risskov ",1.0,43.0,6630.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,80.0,10628.0
" 2-værelses bolig, i smukke omgivelser i Risskov",2.0,62.0,8661.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,92.0,11836.0
Lejlighed på 164m² i Trandbjerg/Hasselager ,4.0,164.0,10100.0
OBS only available in some of the week-days. not available in the week-ends. Commute room (pendlerværelse) - Cozy room close to Aarhus C ,1.0,10.0,2400.0
1-værelses lejlighed i Aarhus C / Studio apartment in Aarhus C. ,1.0,30.0,7098.0
Pendlerværelse,1.0,20.0,2800.0
Stort hus i Viby J,7.0,218.0,19350.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,115.0,14380.0
"3 værelses bolig, i smukke omgivelser i Risskov",3.0,95.0,12199.0
"3-værelses bolig, i smukke omgivelser i Risskov",3.0,88.0,11451.0
"3-værelses bolig, i smukke omgivelser i Risskov",3.0,90.0,11612.0
"1 værelses bolig, i smukke omgivelser i Risskov",1.0,60.0,8469.0
" 2 værelses bolig, i smukke omgivelser i Risskov",2.0,93.0,11932.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,80.0,10639.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,112.0,14006.0
"2 værelses bolig, i smukke omgivelser i Risskov",2.0,82.0,10799.0
"3 værelses bolig, i smukke omgivelser i Risskov",3.0,115.0,14380.0
"1 værelses bolig, i smukke omgivelser i Risskov",1.0,77.0,10297.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,88.0,11483.0
"2 værelses bolig, i smukke omgivelser i Risskov",2.0,88.0,11462.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,54.0,7836.0
"3-værelses bolig, i smukke omgivelser i Risskov",3.0,94.0,12080.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,89.0,11579.0
"2 værelses bolig, i smukke omgivelser i Risskov",2.0,85.0,11151.0
"3-værelses bolig, i smukke omgivelser i Risskov ",3.0,113.0,14156.0
" 3-værelses bolig, i smukke omgivelser i Risskov ",3.0,94.0,12039.0
"1 værelses bolig, i smukke omgivelser i Risskov",1.0,72.0,9687.0
"3 værelses bolig, i smukke omgivelser i Risskov",3.0,96.0,12349.0
"3 værelses bolig, i smukke omgivelser i Risskov",3.0,111.0,13931.0
"1 værelses bolig, i smukke omgivelser i Risskov",1.0,81.0,10735.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,106.0,13397.0
Nyrenoveret bolig i Trige,2.0,89.0,7888.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,86.0,11238.0
"1-værelses bolig, i smukke omgivelser i Risskov",1.0,60.0,8467.0
"2-værelses bolig, i smukke omgivelser i Risskov",2.0,89.0,11579.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,84.0,11045.0
"1-værelses bolig, i smukke omgivelser i Risskov ",1.0,52.0,7603.0
"2-værelses bolig, i smukke omgivelser i Risskov ",2.0,112.0,14038.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,5.0,117.0,11200.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,5.0,117.0,11000.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,5.0,117.0,11000.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,4.0,94.0,10300.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,4.0,100.0,10400.0
Dejligt rækkehus i rolige omgivelser,5.0,134.0,11200.0
Toværelses lejlighed i Aarhus C / One bedroom apartment in Aarhus C,2.0,42.0,7615.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,5.0,117.0,11000.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,5.0,117.0,11000.0
75 svanemærkede rækkehuse midt i naturskønne Brabrand,5.0,117.0,11000.0
"værelse,100 meter fra Uni , 17 kvm, til leje i villa.3950/md",1.0,17.0,4250.0
Furnished Aarhus C. incl. consumption,2.0,36.0,8618.0
Velkommen til Blækhus Aarhus,1.0,32.0,4995.0
Enkelværelse til leje      Room for rent,1.0,20.0,4000.0
Dejligt hus centralt  i Skæring,4.0,117.0,12500.0
Bolig på 182m² i Solbjerg,5.0,182.0,9700.0
Toværelses midt i Aarhus,2.0,42.0,8628.0
1- værelses lejlighed ,1.0,25.0,3500.0
Rummelig lejlighed i Højbjerg,2.0,69.0,8950.0
2 værelses lejlighed i Rundhøj,2.0,54.0,6600.0
153m² bolig i Solbjerg med udsigt til Solbjerg Sø,2.0,153.0,10200.0
Stort og lyst værelse,1.0,22.0,2195.0
Charmerende toværelses lejlighed - fuld møbleret / Charming one-bedroom apartment - fully furnished,2.0,58.0,9125.0
Et værelse med fælles køkknet og bad.,1.0,18.0,2400.0
Nyere lejlighed beliggende ved skov og sø,1.0,59.0,7000.0
Værelse i Aarhus N,1.0,20.0,2300.0
Skønt værelse tæt på natur og tæt på city! ,1.0,47.0,5400.0
Møbleret toværelses lejlighed i Aarhus C / Furnished one-bedroom apartment in Aarhus C,2.0,51.0,9541.0
"Toværelses lejlighed i Søgade, Aarhus C / One-bedroom apartment in Søgade, Aarhus C",2.0,42.0,9125.0
Toværelses i Valdemarsgade / 1 bedroom apartment Aarhus C,2.0,57.0,9034.0
Charmerende taglejlighed i Ø-kvarteret / Charming penthouse apartment,2.0,55.0,9632.0
2-værelses lejlighed i Aarhus C / One bedroom furnished apartment in Aarhus C,2.0,39.0,8112.0
Toværelses Aarhus C,2.0,42.0,9125.0
Treværelses lejlighed med egen terrasse / 2 bedroom apartment with private terrace,3.0,51.0,10757.0
Hyggelig toværelses lejlighed / Cozy one-bedroom apartment,2.0,39.0,8213.0
1 værelse med perfekt beliggenhed mm med nyt spisekøkken og eget køleskab samt toilet med brus ,1.0,20.0,3900.0
Toværelses central beliggenhed,2.0,39.0,9125.0
Toværelses i rolige omgivelser,2.0,45.0,9541.0
"Toværelses taglejlighed i Valdemarsgade, Aarhus C / One-bedroom penthouse apartment in Valdemarsgade, Aarhus C.  ",2.0,61.0,9693.0
Toværelses lejlighed med åben planløsning,2.0,67.0,9733.0
